ticker,date,hold_days,hybrid_signal,confidence,price_change_pct,correct
AAPL,2022-01-27,5,BUY,55,8.59,True
AAPL,2022-01-27,10,BUY,55,8.24,True
AAPL,2022-01-27,20,BUY,55,3.67,True
AAPL,2022-01-28,5,BUY,55,1.34,True
AAPL,2022-01-28,10,BUY,55,-0.87,False
AAPL,2022-01-28,20,BUY,55,-2.94,False
AAPL,2022-02-01,5,BUY,55,0.25,True
AAPL,2022-02-01,10,BUY,55,-0.92,False
AAPL,2022-02-01,20,BUY,55,-4.49,False
AAPL,2022-02-02,5,BUY,55,0.38,True
AAPL,2022-02-02,10,BUY,55,-1.75,False
AAPL,2022-02-02,20,BUY,55,-5.34,False
AAPL,2022-02-03,5,BUY,55,-0.32,False
AAPL,2022-02-03,10,BUY,55,-2.2,False
AAPL,2022-02-03,20,BUY,55,-5.51,False
AAPL,2022-02-04,5,BUY,55,-2.18,False
AAPL,2022-02-04,10,BUY,55,-2.95,False
AAPL,2022-02-04,20,BUY,55,-7.59,False
AAPL,2022-02-07,5,BUY,55,-1.62,False
AAPL,2022-02-07,10,BUY,55,-4.28,False
AAPL,2022-02-07,20,BUY,55,-8.28,False
AAPL,2022-02-08,5,BUY,55,-1.17,False
AAPL,2022-02-08,10,BUY,55,-8.44,False
AAPL,2022-02-08,20,BUY,55,-6.8,False
AAPL,2022-02-09,5,BUY,55,-2.12,False
AAPL,2022-02-09,10,BUY,55,-7.68,False
AAPL,2022-02-09,20,BUY,55,-10.07,False
AAPL,2022-02-10,5,BUY,55,-1.88,False
AAPL,2022-02-10,10,BUY,55,-4.22,False
AAPL,2022-02-10,20,BUY,55,-10.1,False
AAPL,2022-02-11,5,BUY,55,-0.79,False
AAPL,2022-02-11,10,BUY,55,-2.09,False
AAPL,2022-02-11,20,BUY,55,-10.69,False
AAPL,2022-02-14,5,BUY,55,-2.7,False
AAPL,2022-02-14,10,BUY,55,-3.36,False
AAPL,2022-02-14,20,BUY,55,-8.17,False
AAPL,2022-02-15,5,BUY,55,-7.36,False
AAPL,2022-02-15,10,BUY,55,-3.61,False
AAPL,2022-02-15,20,BUY,55,-7.64,False
AAPL,2022-02-16,5,BUY,55,-5.69,False
AAPL,2022-02-16,10,BUY,55,-3.66,False
AAPL,2022-02-16,20,BUY,55,-6.91,False
AAPL,2022-02-17,5,BUY,55,-2.39,False
AAPL,2022-02-17,10,BUY,55,-3.38,False
AAPL,2022-02-17,20,BUY,55,-2.9,False
AAPL,2022-02-18,5,BUY,55,-1.3,False
AAPL,2022-02-18,10,BUY,55,-4.78,False
AAPL,2022-02-18,20,BUY,55,-1.15,False
AAPL,2022-02-22,5,BUY,55,-0.68,False
AAPL,2022-02-22,10,BUY,55,-4.19,False
AAPL,2022-02-22,20,BUY,55,2.74,True
AAPL,2022-02-23,5,BUY,55,4.05,True
AAPL,2022-02-23,10,BUY,55,1.8,True
AAPL,2022-02-23,20,BUY,55,6.33,True
AAPL,2022-02-24,5,BUY,55,2.14,True
AAPL,2022-02-24,10,BUY,55,-2.59,False
AAPL,2022-02-24,20,BUY,55,6.96,True
AAPL,2022-02-25,5,BUY,55,-1.02,False
AAPL,2022-02-25,10,BUY,55,-6.14,False
AAPL,2022-02-25,20,BUY,55,5.99,True
AAPL,2022-02-28,5,BUY,55,-3.52,False
AAPL,2022-02-28,10,BUY,55,-8.78,False
AAPL,2022-02-28,20,BUY,55,6.35,True
AAPL,2022-03-01,5,BUY,55,-3.53,False
AAPL,2022-03-01,10,BUY,55,-4.97,False
AAPL,2022-03-01,20,BUY,55,9.66,True
AAPL,2022-03-02,5,BUY,55,-2.17,False
AAPL,2022-03-02,10,BUY,55,-4.18,False
AAPL,2022-03-02,20,BUY,55,6.73,True
AAPL,2022-03-03,5,BUY,55,-4.64,False
AAPL,2022-03-03,10,BUY,55,-3.37,False
AAPL,2022-03-03,20,BUY,55,5.04,True
AAPL,2022-03-04,5,BUY,55,-5.17,False
AAPL,2022-03-04,10,BUY,55,0.5,True
AAPL,2022-03-04,20,BUY,55,6.83,True
AAPL,2022-03-07,5,BUY,55,-5.45,False
AAPL,2022-03-07,10,BUY,55,3.82,True
AAPL,2022-03-07,20,BUY,55,12.02,True
AAPL,2022-03-08,5,BUY,55,-1.49,False
AAPL,2022-03-08,10,BUY,55,7.23,True
AAPL,2022-03-08,20,BUY,55,11.19,True
AAPL,2022-03-09,5,BUY,55,-2.06,False
AAPL,2022-03-09,10,BUY,55,4.46,True
AAPL,2022-03-09,20,BUY,55,5.45,True
AAPL,2022-03-10,5,BUY,55,1.32,True
AAPL,2022-03-10,10,BUY,55,9.81,True
AAPL,2022-03-10,20,BUY,55,8.59,True
AAPL,2022-03-11,5,BUY,55,5.98,True
AAPL,2022-03-11,10,BUY,55,12.92,True
AAPL,2022-03-11,20,BUY,55,9.93,True
AAPL,2022-03-14,5,BUY,55,9.8,True
AAPL,2022-03-14,10,BUY,55,16.58,True
AAPL,2022-03-14,20,BUY,55,10.05,True
AAPL,2022-03-15,5,BUY,55,8.85,True
AAPL,2022-03-15,10,BUY,55,15.39,True
AAPL,2022-03-15,20,BUY,55,8.1,True
AAPL,2022-03-16,5,BUY,55,6.65,True
AAPL,2022-03-16,10,BUY,55,11.39,True
AAPL,2022-03-16,20,BUY,55,6.77,True
AAPL,2022-03-17,5,BUY,55,8.37,True
AAPL,2022-03-17,10,BUY,55,8.71,True
AAPL,2022-03-17,20,BUY,55,2.91,True
AAPL,2022-03-18,5,BUY,55,6.55,True
AAPL,2022-03-18,10,BUY,55,6.3,True
AAPL,2022-03-18,20,BUY,55,0.66,True
AAPL,2022-03-21,5,BUY,55,6.18,True
AAPL,2022-03-21,10,BUY,55,7.9,True
AAPL,2022-03-21,20,BUY,55,1.22,True
AAPL,2022-03-22,5,BUY,55,6.01,True
AAPL,2022-03-22,10,BUY,55,3.7,True
AAPL,2022-03-22,20,BUY,55,-0.94,False
AAPL,2022-03-23,5,BUY,55,4.44,True
AAPL,2022-03-23,10,BUY,55,0.95,True
AAPL,2022-03-23,20,BUY,55,-2.23,False
AAPL,2022-03-24,5,BUY,55,0.31,True
AAPL,2022-03-24,10,BUY,55,-1.11,False
AAPL,2022-03-24,20,BUY,55,-7.05,False
AAPL,2022-03-25,5,BUY,55,-0.23,False
AAPL,2022-03-25,10,BUY,55,-2.65,False
AAPL,2022-03-25,20,BUY,55,-6.78,False
AAPL,2022-03-28,5,BUY,55,1.62,True
AAPL,2022-03-28,10,BUY,55,-5.61,False
AAPL,2022-03-28,20,BUY,55,-10.71,False
AAPL,2022-03-29,5,BUY,55,-2.18,False
AAPL,2022-03-29,10,BUY,55,-6.31,False
AAPL,2022-03-29,20,BUY,55,-12.51,False
AAPL,2022-03-30,5,BUY,55,-3.34,False
AAPL,2022-03-30,10,BUY,55,-4.15,False
AAPL,2022-03-30,20,BUY,55,-7.95,False
AAPL,2022-03-31,5,BUY,55,-1.41,False
AAPL,2022-03-31,10,BUY,55,-5.34,False
AAPL,2022-03-31,20,BUY,55,-9.71,False
AAPL,2022-04-01,5,BUY,55,-2.42,False
AAPL,2022-04-01,10,BUY,55,-5.3,False
AAPL,2022-04-01,20,BUY,55,-9.38,False
AAPL,2022-04-04,5,BUY,55,-7.11,False
AAPL,2022-04-04,10,BUY,55,-6.19,False
AAPL,2022-04-04,20,BUY,55,-10.63,False
AAPL,2022-04-06,5,BUY,55,-0.83,False
AAPL,2022-04-06,10,BUY,55,-3.15,False
AAPL,2022-04-06,20,BUY,55,-8.76,False
AAPL,2022-04-07,5,BUY,55,-3.98,False
AAPL,2022-04-07,10,BUY,55,-6.01,False
AAPL,2022-04-07,20,BUY,55,-8.5,False
AAPL,2022-04-08,5,BUY,55,-2.95,False
AAPL,2022-04-08,10,BUY,55,-4.24,False
AAPL,2022-04-08,20,BUY,55,-10.47,False
AAPL,2022-04-11,5,BUY,55,1.0,True
AAPL,2022-04-11,10,BUY,55,-5.4,False
AAPL,2022-04-11,20,BUY,55,-6.64,False
AAPL,2022-04-12,5,BUY,55,-0.26,False
AAPL,2022-04-12,10,BUY,55,-6.61,False
AAPL,2022-04-12,20,BUY,55,-12.49,False
AAPL,2022-04-13,5,BUY,55,-2.34,False
AAPL,2022-04-13,10,BUY,55,-3.97,False
AAPL,2022-04-13,20,BUY,55,-16.22,False
AAPL,2022-04-14,5,BUY,55,-2.12,False
AAPL,2022-04-14,10,BUY,55,-4.62,False
AAPL,2022-04-14,20,BUY,55,-10.87,False
AAPL,2022-04-18,5,BUY,55,-1.33,False
AAPL,2022-04-18,10,BUY,55,-4.31,False
AAPL,2022-04-18,20,BUY,55,-11.7,False
AAPL,2022-04-19,5,BUY,55,-6.33,False
AAPL,2022-04-19,10,BUY,55,-4.73,False
AAPL,2022-04-19,20,BUY,55,-10.72,False
AAPL,2022-04-20,5,BUY,55,-6.37,False
AAPL,2022-04-20,10,BUY,55,-0.72,False
AAPL,2022-04-20,20,BUY,55,-15.67,False
AAPL,2022-04-21,5,BUY,55,-1.67,False
AAPL,2022-04-21,10,BUY,55,-5.8,False
AAPL,2022-04-21,20,BUY,55,-17.35,False
AAPL,2022-04-22,5,BUY,55,-2.56,False
AAPL,2022-04-22,10,BUY,55,-2.64,False
AAPL,2022-04-22,20,BUY,55,-14.83,False
AAPL,2022-04-25,5,BUY,55,-3.02,False
AAPL,2022-04-25,10,BUY,55,-6.51,False
AAPL,2022-04-25,20,BUY,55,-12.01,False
AAPL,2022-04-26,5,BUY,55,1.71,True
AAPL,2022-04-26,10,BUY,55,-1.32,False
AAPL,2022-04-26,20,BUY,55,-10.35,False
AAPL,2022-04-27,5,BUY,55,6.04,True
AAPL,2022-04-27,10,BUY,55,-6.29,False
AAPL,2022-04-27,20,BUY,55,-10.12,False
AAPL,2022-04-28,5,BUY,55,-4.2,False
AAPL,2022-04-28,10,BUY,55,-12.75,False
AAPL,2022-04-28,20,BUY,55,-12.01,False
AAPL,2022-04-29,5,BUY,55,-0.09,False
AAPL,2022-04-29,10,BUY,55,-6.55,False
AAPL,2022-04-29,20,BUY,55,-4.94,False
AAPL,2022-05-02,5,BUY,55,-3.59,False
AAPL,2022-05-02,10,BUY,55,-7.73,False
AAPL,2022-05-02,20,BUY,55,-5.64,False
AAPL,2022-05-04,5,BUY,55,-11.63,False
AAPL,2022-05-04,10,BUY,55,-15.05,False
AAPL,2022-05-04,20,BUY,55,-8.79,False
AAPL,2022-05-05,5,BUY,55,-8.93,False
AAPL,2022-05-05,10,BUY,55,-12.26,False
AAPL,2022-05-05,20,BUY,55,-7.13,False
AAPL,2022-05-06,5,BUY,55,-6.47,False
AAPL,2022-05-06,10,BUY,55,-12.52,False
AAPL,2022-05-06,20,BUY,55,-7.08,False
AAPL,2022-05-09,5,BUY,55,-4.29,False
AAPL,2022-05-09,10,BUY,55,-5.89,False
AAPL,2022-05-09,20,BUY,55,-2.2,False
AAPL,2022-05-10,5,BUY,55,-3.41,False
AAPL,2022-05-10,10,BUY,55,-9.16,False
AAPL,2022-05-10,20,BUY,55,-4.24,False
AAPL,2022-05-11,5,BUY,55,-3.88,False
AAPL,2022-05-11,10,BUY,55,-4.08,False
AAPL,2022-05-11,20,BUY,55,-2.63,False
AAPL,2022-05-12,5,BUY,55,-3.65,False
AAPL,2022-05-12,10,BUY,55,0.86,True
AAPL,2022-05-12,20,BUY,55,-3.81,False
AAPL,2022-05-13,5,BUY,55,-6.47,False
AAPL,2022-05-13,10,BUY,55,1.72,True
AAPL,2022-05-13,20,BUY,55,-10.35,False
AAPL,2022-05-16,5,BUY,55,-1.67,False
AAPL,2022-05-16,10,BUY,55,2.27,True
AAPL,2022-05-16,20,BUY,55,-8.78,False
AAPL,2022-05-17,5,BUY,55,-5.95,False
AAPL,2022-05-17,10,BUY,55,-0.36,False
AAPL,2022-05-17,20,BUY,55,-9.25,False
AAPL,2022-05-18,5,BUY,55,-0.21,False
AAPL,2022-05-18,10,BUY,55,7.38,True
AAPL,2022-05-18,20,BUY,55,-7.64,False
AAPL,2022-05-19,5,BUY,55,4.68,True
AAPL,2022-05-19,10,BUY,55,5.85,True
AAPL,2022-05-19,20,BUY,55,-4.22,False
AAPL,2022-05-20,5,BUY,55,8.76,True
AAPL,2022-05-20,10,BUY,55,6.21,True
AAPL,2022-05-20,20,BUY,55,-1.25,False
AAPL,2022-05-23,5,BUY,55,4.0,True
AAPL,2022-05-23,10,BUY,55,3.91,True
AAPL,2022-05-23,20,BUY,55,-5.42,False
AAPL,2022-05-24,5,BUY,55,5.95,True
AAPL,2022-05-24,10,BUY,55,5.41,True
AAPL,2022-05-24,20,BUY,55,-1.49,False
AAPL,2022-05-25,5,BUY,55,7.61,True
AAPL,2022-05-25,10,BUY,55,1.51,True
AAPL,2022-05-25,20,BUY,55,0.81,True
