ticker,date,cross_type,entry_price,exit_price,hold_days,price_change_pct,crossover_correct,rule_signal,rule_correct,atv_confirmed,rsi_gate,hybrid_signal,hybrid_correct,confidence,rl_agrees
NVDA,2026-03-06,golden_cross,177.81,172.7,10,-2.87,False,BUY,False,True,passed,BUY,False,90,True
NVDA,2026-03-06,golden_cross,177.81,177.64,20,-0.1,False,BUY,False,True,passed,BUY,False,90,True
NVDA,2026-03-10,death_cross,184.76,181.93,5,-1.53,True,SELL,True,True,passed,SELL,True,90,True
NVDA,2026-03-10,death_cross,184.76,175.2,10,-5.17,True,SELL,True,True,passed,SELL,True,90,True
NVDA,2026-03-10,death_cross,184.76,182.08,20,-1.45,True,SELL,True,True,passed,SELL,True,90,True
JPM,2021-06-23,golden_cross,133.18,137.08,5,2.92,True,BUY,True,True,passed,BUY,True,90,True
JPM,2021-06-23,golden_cross,133.18,133.79,10,0.46,True,BUY,True,True,passed,BUY,True,90,True
JPM,2021-06-23,golden_cross,133.18,133.78,20,0.45,True,BUY,True,True,passed,BUY,True,90,True
JPM,2021-06-29,death_cross,135.84,136.14,5,0.22,False,SELL,False,True,passed,SELL,False,60,False
JPM,2021-06-29,death_cross,135.84,137.5,10,1.22,False,SELL,False,True,passed,SELL,False,60,False
JPM,2021-06-29,death_cross,135.84,134.46,20,-1.02,True,SELL,True,True,passed,SELL,True,60,False
JPM,2021-08-17,golden_cross,139.17,139.76,5,0.42,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2021-08-17,golden_cross,139.17,141.78,10,1.87,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2021-08-17,golden_cross,139.17,140.19,20,0.73,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2021-11-30,death_cross,141.63,144.97,5,2.35,False,SELL,False,True,passed,SELL,False,60,False
JPM,2021-11-30,death_cross,141.63,141.9,10,0.19,False,SELL,False,True,passed,SELL,False,60,False
JPM,2021-11-30,death_cross,141.63,141.39,20,-0.17,True,SELL,True,True,passed,SELL,True,60,False
JPM,2022-06-21,golden_cross,104.68,104.67,5,-0.01,False,BUY,False,True,passed,BUY,False,90,True
JPM,2022-06-21,golden_cross,104.68,102.01,10,-2.55,False,BUY,False,True,passed,BUY,False,90,True
JPM,2022-06-21,golden_cross,104.68,104.43,20,-0.24,False,BUY,False,True,passed,BUY,False,90,True
JPM,2022-06-22,death_cross,104.09,104.2,5,0.1,False,HOLD,,True,blocked_oversold,HOLD,,55,False
JPM,2022-06-22,death_cross,104.09,104.59,10,0.48,False,HOLD,,True,blocked_oversold,HOLD,,55,False
JPM,2022-06-22,death_cross,104.09,105.14,20,1.01,False,HOLD,,True,blocked_oversold,HOLD,,55,False
JPM,2022-08-16,golden_cross,112.71,105.32,5,-6.56,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2022-08-16,golden_cross,112.71,104.31,10,-7.46,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2022-08-16,golden_cross,112.71,105.87,20,-6.07,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2022-09-22,death_cross,101.39,96.79,5,-4.54,True,SELL,True,True,passed,SELL,True,60,False
JPM,2022-09-22,death_cross,101.39,99.47,10,-1.89,True,SELL,True,True,passed,SELL,True,60,False
JPM,2022-09-22,death_cross,101.39,106.82,20,5.36,False,SELL,False,True,passed,SELL,False,60,False
JPM,2022-10-28,golden_cross,115.98,120.21,5,3.65,True,HOLD,,True,blocked_overbought,HOLD,,55,False
JPM,2022-10-28,golden_cross,115.98,124.46,10,7.31,True,HOLD,,True,blocked_overbought,HOLD,,55,False
JPM,2022-10-28,golden_cross,115.98,123.58,20,6.56,True,HOLD,,True,blocked_overbought,HOLD,,55,False
JPM,2023-03-15,death_cross,118.85,117.85,5,-0.84,True,SELL,True,True,passed,SELL,True,60,False
JPM,2023-03-15,death_cross,118.85,119.67,10,0.69,False,SELL,False,True,passed,SELL,False,60,False
JPM,2023-03-15,death_cross,118.85,120.47,20,1.36,False,SELL,False,True,passed,SELL,False,60,False
JPM,2023-04-28,golden_cross,129.11,127.71,5,-1.09,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2023-04-28,golden_cross,129.11,125.24,10,-2.99,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2023-04-28,golden_cross,129.11,127.89,20,-0.94,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2023-09-05,death_cross,136.54,137.61,5,0.79,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2023-09-05,death_cross,136.54,140.05,10,2.57,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2023-09-05,death_cross,136.54,134.2,20,-1.71,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2023-11-22,golden_cross,145.25,147.85,5,1.79,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2023-11-22,golden_cross,145.25,148.53,10,2.26,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2023-11-22,golden_cross,145.25,158.67,20,9.24,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2024-05-03,death_cross,182.64,190.56,5,4.34,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2024-05-03,death_cross,182.64,196.33,10,7.5,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2024-05-03,death_cross,182.64,193.48,20,5.94,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2024-05-15,golden_cross,193.76,190.12,5,-1.88,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2024-05-15,golden_cross,193.76,191.1,10,-1.38,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2024-05-15,golden_cross,193.76,185.66,20,-4.18,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2024-09-30,death_cross,203.27,204.58,5,0.65,False,SELL,False,True,passed,SELL,False,60,False
JPM,2024-09-30,death_cross,203.27,214.82,10,5.68,False,SELL,False,True,passed,SELL,False,60,False
JPM,2024-09-30,death_cross,203.27,218.71,20,7.6,False,SELL,False,True,passed,SELL,False,60,False
JPM,2024-10-16,golden_cross,216.91,216.69,5,-0.1,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2024-10-16,golden_cross,216.91,217.66,10,0.34,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2024-10-16,golden_cross,216.91,233.9,20,7.83,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2025-01-13,death_cross,238.08,256.43,5,7.71,False,SELL,False,True,passed,SELL,False,60,False
JPM,2025-01-13,death_cross,238.08,260.44,10,9.39,False,SELL,False,True,passed,SELL,False,60,False
JPM,2025-01-13,death_cross,238.08,268.09,20,12.6,False,SELL,False,True,passed,SELL,False,60,False
JPM,2025-01-17,golden_cross,252.66,259.18,5,2.58,True,HOLD,,True,blocked_overbought,HOLD,,55,False
JPM,2025-01-17,golden_cross,252.66,260.12,10,2.95,True,HOLD,,True,blocked_overbought,HOLD,,55,False
JPM,2025-01-17,golden_cross,252.66,272.93,20,8.02,True,HOLD,,True,blocked_overbought,HOLD,,55,False
JPM,2025-03-13,death_cross,219.54,233.02,5,6.14,False,HOLD,,True,blocked_oversold,HOLD,,55,False
JPM,2025-03-13,death_cross,219.54,241.9,10,10.18,False,HOLD,,True,blocked_oversold,HOLD,,55,False
JPM,2025-03-13,death_cross,219.54,222.78,20,1.47,False,HOLD,,True,blocked_oversold,HOLD,,55,False
JPM,2025-05-07,golden_cross,244.63,260.57,5,6.52,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2025-05-07,golden_cross,244.63,256.06,10,4.67,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2025-05-07,golden_cross,244.63,256.95,20,5.04,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2025-10-29,death_cross,302.59,308.7,5,2.02,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2025-10-29,death_cross,302.59,317.35,10,4.88,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2025-10-29,death_cross,302.59,304.7,20,0.7,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2025-11-13,golden_cross,306.52,295.53,5,-3.59,False,HOLD,,False,n/a,HOLD,,55,False
JPM,2025-11-13,golden_cross,306.52,310.09,10,1.16,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2025-11-13,golden_cross,306.52,315.48,20,2.92,True,HOLD,,False,n/a,HOLD,,55,False
JPM,2026-02-02,death_cross,306.57,320.46,5,4.53,False,SELL,False,True,passed,SELL,False,60,False
JPM,2026-02-02,death_cross,306.57,305.57,10,-0.33,True,SELL,True,True,passed,SELL,True,60,False
JPM,2026-02-02,death_cross,306.57,298.73,20,-2.56,True,SELL,True,True,passed,SELL,True,60,False
