ticker,date,strategy,signal,horizon,entry_price,future_price,markout_pct
AAPL,2022-01-27,Hybrid,BUY,1,155.8,166.67,6.9778
AAPL,2022-01-27,Hybrid,BUY,2,155.8,171.03,9.7727
AAPL,2022-01-27,Hybrid,BUY,3,155.8,170.86,9.6659
AAPL,2022-01-27,Hybrid,BUY,5,155.8,169.19,8.5919
AAPL,2022-01-27,Hybrid,BUY,10,155.8,168.64,8.2397
AAPL,2022-01-27,Hybrid,BUY,21,155.8,161.78,3.8377
AAPL,2022-01-27,RL,BUY,1,155.8,166.67,6.9778
AAPL,2022-01-27,RL,BUY,2,155.8,171.03,9.7727
AAPL,2022-01-27,RL,BUY,3,155.8,170.86,9.6659
AAPL,2022-01-27,RL,BUY,5,155.8,169.19,8.5919
AAPL,2022-01-27,RL,BUY,10,155.8,168.64,8.2397
AAPL,2022-01-27,RL,BUY,21,155.8,161.78,3.8377
AAPL,2022-01-28,Hybrid,BUY,1,166.67,171.03,2.6126
AAPL,2022-01-28,Hybrid,BUY,2,166.67,170.86,2.5128
AAPL,2022-01-28,Hybrid,BUY,3,166.67,172.07,3.2349
AAPL,2022-01-28,Hybrid,BUY,5,166.67,168.91,1.3384
AAPL,2022-01-28,Hybrid,BUY,10,166.67,165.23,-0.866
AAPL,2022-01-28,Hybrid,BUY,21,166.67,159.9,-4.0639
AAPL,2022-01-28,RL,BUY,1,166.67,171.03,2.6126
AAPL,2022-01-28,RL,BUY,2,166.67,170.86,2.5128
AAPL,2022-01-28,RL,BUY,3,166.67,172.07,3.2349
AAPL,2022-01-28,RL,BUY,5,166.67,168.91,1.3384
AAPL,2022-01-28,RL,BUY,10,166.67,165.23,-0.866
AAPL,2022-01-28,RL,BUY,21,166.67,159.9,-4.0639
AAPL,2022-01-31,Rule,SELL,1,171.03,170.86,0.0973
AAPL,2022-01-31,Rule,SELL,2,171.03,172.07,-0.6065
AAPL,2022-01-31,Rule,SELL,3,171.03,169.19,1.0757
AAPL,2022-01-31,Rule,SELL,5,171.03,168.19,1.66
AAPL,2022-01-31,Rule,SELL,10,171.03,165.47,3.2526
AAPL,2022-01-31,Rule,SELL,21,171.03,163.19,4.5817
AAPL,2022-01-31,Hybrid,SELL,1,171.03,170.86,0.0973
AAPL,2022-01-31,Hybrid,SELL,2,171.03,172.07,-0.6065
AAPL,2022-01-31,Hybrid,SELL,3,171.03,169.19,1.0757
AAPL,2022-01-31,Hybrid,SELL,5,171.03,168.19,1.66
AAPL,2022-01-31,Hybrid,SELL,10,171.03,165.47,3.2526
AAPL,2022-01-31,Hybrid,SELL,21,171.03,163.19,4.5817
AAPL,2022-01-31,RL,BUY,1,171.03,170.86,-0.0973
AAPL,2022-01-31,RL,BUY,2,171.03,172.07,0.6065
AAPL,2022-01-31,RL,BUY,3,171.03,169.19,-1.0757
AAPL,2022-01-31,RL,BUY,5,171.03,168.19,-1.66
AAPL,2022-01-31,RL,BUY,10,171.03,165.47,-3.2526
AAPL,2022-01-31,RL,BUY,21,171.03,163.19,-4.5817
AAPL,2022-02-01,Hybrid,BUY,1,170.86,172.07,0.7044
AAPL,2022-02-01,Hybrid,BUY,2,170.86,169.19,-0.9793
AAPL,2022-02-01,Hybrid,BUY,3,170.86,168.91,-1.1456
AAPL,2022-02-01,Hybrid,BUY,5,170.86,171.3,0.2536
AAPL,2022-02-01,Hybrid,BUY,10,170.86,169.3,-0.9163
AAPL,2022-02-01,Hybrid,BUY,21,170.86,162.87,-4.678
AAPL,2022-02-01,RL,BUY,1,170.86,172.07,0.7044
AAPL,2022-02-01,RL,BUY,2,170.86,169.19,-0.9793
